9,6,0.1,5.5
3,9,0.3,2.5
7.5,6,0.5,1
18,10,0.2,5.5
4.5,5,0.2,7
16.5,2,0.3,4
6,5,0.5,4
12,4,0.3,7
18,4,0.1,2.5
18,10,0.2,4
21,5,0.4,7
10.5,2,0.2,7
7.5,9,0.4,1
13.5,8,0.4,8.5
16.5,7,0.4,2.5
13.5,5,0.3,10
7.5,6,0.2,5.5
7.5,9,0.6,2.5
6,9,0.4,4
21,10,0.3,8.5
18,2,0.5,1
13.5,2,0.6,7
9,5,0.4,1
16.5,7,0.2,7
13.5,5,0.2,7
16.5,8,0.2,4
19.5,3,0.2,5.5
18,2,0.5,8.5
18,2,0.2,4
7.5,3,0.5,4
24,2,0.1,10
18,2,0.4,10
19.5,8,0.2,10
6,6,0.1,10
21,2,0.3,8.5
13.5,4,0.1,1
22.5,4,0.5,8.5
10.5,2,0.2,1
9,4,0.4,8.5
13.5,2,0.6,1
6,9,0.2,8.5
10.5,1,0.3,5.5
3,1,0.4,4
16.5,3,0.3,5.5
21,9,0.2,5.5
21,6,0.6,7
3,8,0.1,4
6,7,0.4,10
9,9,0.4,8.5
6,4,0.6,7
7.5,4,0.4,1
4.5,8,0.3,4
6,7,0.3,4
10.5,7,0.2,8.5
18,4,0.5,5.5
12,4,0.5,10
24,5,0.2,5.5
9,6,0.1,7
12,5,0.2,7
7.5,7,0.6,10
4.5,2,0.6,7
9,9,0.1,10
12,8,0.5,8.5
12,10,0.5,10
12,10,0.3,10
3,5,0.5,4
3,6,0.4,4
3,8,0.4,5.5
9,6,0.4,8.5
15,1,0.5,7
18,4,0.4,4
18,9,0.6,5.5
12,4,0.4,4
12,8,0.4,1
4.5,2,0.1,5.5
18,9,0.6,10
22.5,4,0.3,7
9,7,0.5,5.5
15,5,0.3,10
9,10,0.5,2.5
21,7,0.6,4
18,4,0.4,5.5
18,5,0.5,8.5
4.5,7,0.1,1
3,4,0.1,10
6,10,0.6,1
3,10,0.1,1
24,6,0.1,7
21,4,0.2,10
24,10,0.4,5.5
21,4,0.4,10
24,1,0.4,5.5
7.5,9,0.4,5.5
21,2,0.3,2.5
12,4,0.6,10
22.5,8,0.3,1
19.5,2,0.4,5.5
18,7,0.5,1
3,9,0.2,5.5
22.5,3,0.4,4
21,1,0.2,4
12,6,0.6,1
12,2,0.3,2.5
19.5,6,0.2,5.5
12,8,0.5,1
22.5,6,0.4,10
21,10,0.3,4
3,2,0.6,5.5
12,5,0.5,4
3,6,0.3,10
7.5,2,0.4,1
13.5,4,0.6,2.5
15,8,0.2,8.5
21,1,0.5,10
24,4,0.1,7
4.5,2,0.4,5.5
3,8,0.5,4
7.5,2,0.2,10
19.5,6,0.6,10
18,3,0.2,7
6,9,0.3,8.5
18,9,0.4,7
19.5,10,0.4,1
16.5,7,0.4,8.5
6,9,0.6,7
19.5,3,0.6,7
10.5,6,0.2,2.5
6,4,0.5,4
16.5,8,0.1,10
9,10,0.5,8.5
16.5,7,0.4,10
24,5,0.3,2.5
12,8,0.1,10
15,10,0.2,10
4.5,10,0.3,1
24,5,0.1,8.5
15,5,0.4,5.5
13.5,3,0.1,5.5
3,4,0.5,4
12,4,0.1,2.5
13.5,6,0.3,2.5
21,8,0.2,5.5
7.5,1,0.1,2.5
18,8,0.4,1
4.5,5,0.3,4
9,2,0.4,4
13.5,4,0.5,1
13.5,4,0.2,7
19.5,4,0.2,8.5
3,10,0.1,5.5
3,3,0.1,7
4.5,7,0.4,5.5
21,9,0.6,5.5
22.5,9,0.6,2.5
22.5,1,0.6,8.5
12,8,0.1,7
18,7,0.4,4
16.5,7,0.3,8.5
9,4,0.5,10
19.5,4,0.6,1
7.5,8,0.2,1
15,6,0.1,8.5
18,3,0.5,10
15,6,0.5,2.5
18,6,0.2,7
12,9,0.6,2.5
4.5,5,0.6,5.5
19.5,3,0.1,1
13.5,8,0.1,7
4.5,3,0.6,7
13.5,4,0.5,4
18,5,0.1,1
4.5,8,0.6,5.5
21,2,0.6,5.5
6,4,0.3,4
3,6,0.5,2.5
12,2,0.3,10
24,8,0.1,1
16.5,3,0.5,5.5
6,9,0.1,8.5
9,4,0.4,7
4.5,2,0.3,1
24,9,0.2,7
10.5,4,0.1,4
13.5,5,0.1,8.5
4.5,5,0.5,7
21,7,0.6,7
19.5,2,0.6,1
22.5,8,0.2,5.5
15,1,0.3,8.5
16.5,6,0.4,1
22.5,2,0.1,10
24,7,0.1,10
9,4,0.6,5.5
6,8,0.6,8.5
3,5,0.6,8.5
18,5,0.1,5.5
10.5,2,0.2,8.5
12,2,0.2,8.5
10.5,10,0.1,5.5
